epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.904,0.85499,3.33407,1.27029,0.45509,0.66134,0.54964,0.42825,0.91776,2.60774,1.11219,0.000109832,0.000109832,0.000109832
2,1297.74,0.65472,1.75502,1.06313,0.64906,0.70892,0.7312,0.55248,1.00989,1.76492,1.16664,0.000198969,0.000198969,0.000198969
3,1921.14,0.63016,1.24338,1.04067,0.65379,0.78586,0.83324,0.66515,0.88952,1.34647,1.06596,0.000266129,0.000266129,0.000266129
4,2551.03,0.59681,0.95886,1.01562,0.74883,0.86662,0.90501,0.73157,0.83724,1.03852,1.04602,0.000234099,0.000234099,0.000234099
5,3180.99,0.5716,0.78327,1.00404,0.771,0.87793,0.90818,0.75763,0.76979,0.94523,0.98259,0.000201132,0.000201132,0.000201132
6,3815.17,0.55053,0.63113,0.98208,0.88009,0.8505,0.92344,0.73065,0.89382,0.82731,1.07888,0.000168165,0.000168165,0.000168165
7,4442.9,0.53472,0.55641,0.97338,0.8547,0.88667,0.9394,0.75349,0.916,0.81671,1.07342,0.000135198,0.000135198,0.000135198
8,5068.64,0.50604,0.46805,0.96086,0.90137,0.90822,0.95505,0.78604,0.83957,0.64324,1.03144,0.000102231,0.000102231,0.000102231
9,5872.72,0.47915,0.40831,0.93991,0.85619,0.92673,0.94005,0.7677,0.85201,0.66689,1.03139,6.9264e-05,6.9264e-05,6.9264e-05
10,6556.5,0.46925,0.37282,0.92581,0.96251,0.86863,0.96263,0.79555,0.82057,0.58191,1.00766,3.6297e-05,3.6297e-05,3.6297e-05
